Timestamp,SSIM,B_Var,R_Var,Noise_Max,Contact_Area,Predicted_Label,Confidence
1785724695.762,0.9949,965.1,996.0,3,0,IDLE,0.00
1785724695.844,0.9949,963.5,997.6,2,0,IDLE,0.00
1785724695.896,0.9949,963.6,994.9,3,0,IDLE,0.00
1785724695.947,0.9948,964.6,997.4,2,0,IDLE,0.00
1785724696.001,0.9948,964.6,997.4,2,0,IDLE,0.00
1785724696.057,0.9948,966.6,999.8,2,0,IDLE,0.00
1785724696.109,0.9949,964.2,998.4,2,0,IDLE,0.00
1785724696.160,0.9948,963.8,998.6,2,0,IDLE,0.00
1785724696.214,0.9948,964.2,998.5,2,0,IDLE,0.00
1785724696.265,0.9948,964.2,998.5,2,0,IDLE,0.00
1785724696.319,0.9948,965.6,997.6,3,0,IDLE,0.00
1785724696.373,0.9948,965.4,997.5,2,0,IDLE,0.00
1785724696.425,0.9948,964.0,997.9,2,0,IDLE,0.00
1785724696.478,0.9948,964.0,997.9,2,0,IDLE,0.00
1785724696.550,0.9949,965.8,997.9,2,0,IDLE,0.00
1785724696.621,0.9948,964.8,998.1,2,0,IDLE,0.00
1785724696.693,0.9949,962.7,997.4,2,0,IDLE,0.00
1785724696.760,0.9948,962.9,998.1,3,0,IDLE,0.00
