Timestamp,SSIM,B_Var,R_Var,Noise_Max,Contact_Area,Predicted_Label,Confidence
1785381440.548,0.9947,963.7,993.1,3,0,IDLE,0.00
1785381440.628,0.9948,960.1,991.8,2,0,IDLE,0.00
1785381440.696,0.9948,955.3,992.1,3,0,IDLE,0.00
1785381440.748,0.9948,956.7,991.3,3,0,IDLE,0.00
1785381440.814,0.9948,956.7,991.3,3,0,IDLE,0.00
1785381440.865,0.9949,956.1,992.1,2,0,IDLE,0.00
1785381440.930,0.9947,957.4,991.7,3,0,IDLE,0.00
1785381441.002,0.9948,957.0,991.1,3,0,IDLE,0.00
1785381441.063,0.9948,957.0,991.1,3,0,IDLE,0.00
1785381441.137,0.9948,955.7,990.4,3,0,IDLE,0.00
1785381441.196,0.9948,956.9,990.9,3,0,IDLE,0.00
1785381441.267,0.9948,956.1,992.1,2,0,IDLE,0.00
1785381441.330,0.9948,956.1,990.7,2,0,IDLE,0.00
1785381441.396,0.9948,955.9,992.5,2,0,IDLE,0.00
1785381441.450,0.9948,955.9,992.5,2,0,IDLE,0.00
1785381441.521,0.9948,957.8,991.1,2,0,IDLE,0.00
1785381441.580,0.9947,955.7,991.2,2,0,IDLE,0.00
1785381441.630,0.9948,956.8,991.4,2,0,IDLE,0.00
1785381441.698,0.9948,956.8,991.4,2,0,IDLE,0.00
1785381441.763,0.9948,958.6,992.9,3,0,IDLE,0.00
1785381441.813,0.9949,957.5,991.4,3,0,IDLE,0.00
1785381441.880,0.9948,954.9,992.4,3,0,IDLE,0.00
1785381441.967,0.9948,956.5,991.6,3,0,IDLE,0.00
1785381442.029,0.9948,955.6,992.1,2,0,IDLE,0.00
1785381442.080,0.9948,955.6,992.1,2,0,IDLE,0.00
1785381442.146,0.9949,956.6,990.7,3,0,IDLE,0.00
1785381442.198,0.9948,957.6,992.9,2,0,IDLE,0.00
1785381442.263,0.9948,956.0,992.0,2,0,IDLE,0.00
1785381442.313,0.9948,956.0,992.0,2,0,IDLE,0.00
1785381442.363,0.9948,956.3,991.8,2,0,IDLE,0.00
1785381442.414,0.9948,956.3,991.3,2,0,IDLE,0.00
1785381442.480,0.9948,958.6,990.1,3,0,IDLE,0.00
1785381442.547,0.9948,957.9,991.9,3,0,IDLE,0.00
1785381442.613,0.9948,957.9,991.9,3,0,IDLE,0.00
1785381442.679,0.9948,954.8,991.6,2,0,IDLE,0.00
1785381442.730,0.9948,955.9,991.9,2,0,IDLE,0.00
1785381442.780,0.9948,956.4,992.2,2,0,IDLE,0.00
1785381442.831,0.9948,955.9,992.2,2,0,IDLE,0.00
1785381442.881,0.9948,955.9,992.2,2,0,IDLE,0.00
1785381442.951,0.9948,956.0,991.4,3,0,IDLE,0.00
1785381443.021,0.9948,955.5,991.7,2,0,IDLE,0.00
1785381443.080,0.9948,958.1,991.3,2,0,IDLE,0.00
1785381443.159,0.9948,954.6,990.9,2,0,IDLE,0.00
1785381443.214,0.9948,954.6,990.9,2,0,IDLE,0.00
1785381443.280,0.9948,955.0,992.3,3,0,IDLE,0.00
1785381443.360,0.9948,955.3,992.3,2,0,IDLE,0.00
1785381443.413,0.9947,956.2,990.7,3,0,IDLE,0.00
1785381443.468,0.9948,957.0,991.6,2,0,IDLE,0.00
1785381443.530,0.9948,957.0,991.6,2,0,IDLE,0.00
1785381443.581,0.9948,955.2,991.4,2,0,IDLE,0.00
1785381443.631,0.9948,955.1,990.5,2,0,IDLE,0.00
1785381443.707,0.9947,955.7,992.9,2,0,IDLE,0.00
1785381443.763,0.9947,955.7,992.9,2,0,IDLE,0.00
1785381443.830,0.9949,955.9,989.9,2,0,IDLE,0.00
1785381443.896,0.9948,955.9,992.0,2,0,IDLE,0.00
1785381443.946,0.9948,955.3,991.2,2,0,IDLE,0.00
1785381444.000,0.9948,956.3,991.7,2,0,IDLE,0.00
1785381444.063,0.9948,956.3,991.7,2,0,IDLE,0.00
1785381444.134,0.9948,956.2,992.2,2,0,IDLE,0.00
1785381444.196,0.9948,956.6,990.6,2,0,IDLE,0.00
1785381444.267,0.9948,955.8,990.7,2,0,IDLE,0.00
1785381444.330,0.9948,956.0,992.8,2,0,IDLE,0.00
1785381444.400,0.9948,956.0,992.8,2,0,IDLE,0.00
1785381444.469,0.9948,956.2,991.4,3,0,IDLE,0.00
1785381444.530,0.9948,955.2,991.0,3,0,IDLE,0.00
1785381444.596,0.9948,955.8,991.4,2,0,IDLE,0.00
1785381444.667,0.9948,955.6,990.8,2,0,IDLE,0.00
1785381444.729,0.9948,955.6,990.8,2,0,IDLE,0.00
1785381444.805,0.9948,953.9,990.5,3,0,IDLE,0.00
1785381444.863,0.9948,956.6,991.1,2,0,IDLE,0.00
1785381444.913,0.9948,956.1,990.8,2,0,IDLE,0.00
1785381444.964,0.9948,956.4,992.4,3,0,IDLE,0.00
1785381445.030,0.9948,956.4,992.4,3,0,IDLE,0.00
1785381445.080,0.9947,957.2,991.6,2,0,IDLE,0.00
1785381445.159,0.9948,955.9,991.4,2,0,IDLE,0.00
1785381445.213,0.9948,956.2,991.6,3,0,IDLE,0.00
1785381445.279,0.9947,956.1,991.2,2,0,IDLE,0.00
1785381445.332,0.9947,956.1,991.2,2,0,IDLE,0.00
1785381445.401,0.9948,955.6,992.0,2,0,IDLE,0.00
1785381445.463,0.9948,956.6,990.0,2,0,IDLE,0.00
1785381445.513,0.9947,955.7,991.9,3,0,IDLE,0.00
1785381445.595,0.9948,955.1,990.5,3,0,IDLE,0.00
1785381445.646,0.9948,955.1,990.5,3,0,IDLE,0.00
1785381445.711,0.9948,955.8,988.8,2,0,IDLE,0.00
1785381445.763,0.9948,954.7,991.3,3,0,IDLE,0.00
1785381445.814,0.9948,956.6,989.6,2,0,IDLE,0.00
1785381445.868,0.9948,956.2,991.3,2,0,IDLE,0.00
1785381445.929,0.9948,956.2,991.3,2,0,IDLE,0.00
1785381445.980,0.9949,956.8,991.8,2,0,IDLE,0.00
1785381446.031,0.9948,954.7,992.2,2,0,IDLE,0.00
1785381446.099,0.9949,955.7,990.3,2,0,IDLE,0.00
1785381446.147,0.9949,955.7,990.3,2,0,IDLE,0.00
1785381446.226,0.9948,956.4,991.8,2,0,IDLE,0.00
1785381446.280,0.9948,956.5,991.6,2,0,IDLE,0.00
1785381446.350,0.9948,955.6,991.2,2,0,IDLE,0.00
1785381446.414,0.9948,954.6,990.9,3,0,IDLE,0.00
1785381446.480,0.9948,954.6,990.9,3,0,IDLE,0.00
1785381446.530,0.9948,956.7,990.5,2,0,IDLE,0.00
1785381446.580,0.9947,955.7,989.3,3,0,IDLE,0.00
1785381446.651,0.9949,957.3,990.5,2,0,IDLE,0.00
1785381446.726,0.9948,957.0,990.2,2,0,IDLE,0.00
1785381446.780,0.9948,957.0,990.2,2,0,IDLE,0.00
1785381446.830,0.9948,955.8,992.0,3,0,IDLE,0.00
1785381446.881,0.9948,958.0,991.2,2,0,IDLE,0.00
1785381446.935,0.9948,957.0,989.8,2,0,IDLE,0.00
1785381446.996,0.9948,955.6,990.6,2,0,IDLE,0.00
1785381447.046,0.9948,955.6,990.6,2,0,IDLE,0.00
1785381447.097,0.9948,956.7,990.7,3,0,IDLE,0.00
1785381447.146,0.9948,955.1,989.9,2,0,IDLE,0.00
1785381447.199,0.9948,957.6,990.6,2,0,IDLE,0.00
1785381447.263,0.9948,957.6,990.6,2,0,IDLE,0.00
1785381447.315,0.9948,956.7,989.8,2,0,IDLE,0.00
1785381447.384,0.9949,957.5,989.7,2,0,IDLE,0.00
1785381447.454,0.9948,955.6,991.1,3,0,IDLE,0.00
1785381447.513,0.9948,954.7,990.2,3,0,IDLE,0.00
1785381447.580,0.9948,954.7,990.2,3,0,IDLE,0.00
1785381447.631,0.9948,955.8,991.4,3,0,IDLE,0.00
1785381447.700,0.9948,955.2,990.9,3,0,IDLE,0.00
1785381447.776,0.9948,954.7,990.2,3,0,IDLE,0.00
1785381447.829,0.9947,956.8,991.6,2,0,IDLE,0.00
1785381447.899,0.9947,956.8,991.6,2,0,IDLE,0.00
1785381447.949,0.9948,955.6,990.6,2,0,IDLE,0.00
1785381448.016,0.9947,955.3,991.4,3,0,IDLE,0.00
1785381448.094,0.9948,955.1,990.1,2,0,IDLE,0.00
1785381448.146,0.9948,956.8,989.5,3,0,IDLE,0.00
1785381448.213,0.9948,956.8,989.5,3,0,IDLE,0.00
1785381448.271,0.9949,956.3,991.2,2,0,IDLE,0.00
1785381448.330,0.9948,955.2,991.1,2,0,IDLE,0.00
1785381448.380,0.9948,956.6,990.5,2,0,IDLE,0.00
1785381448.430,0.9947,955.5,990.7,2,0,IDLE,0.00
1785381448.480,0.9947,955.5,990.7,2,0,IDLE,0.00
1785381448.534,0.9948,956.5,991.7,3,0,IDLE,0.00
1785381448.596,0.9947,955.2,989.6,3,0,IDLE,0.00
1785381448.646,0.9948,954.8,990.3,3,0,IDLE,0.00
1785381448.698,0.9948,954.8,990.3,3,0,IDLE,0.00
1785381448.750,0.9948,955.4,991.7,2,0,IDLE,0.00
1785381448.814,0.9948,954.9,990.7,3,0,IDLE,0.00
1785381448.884,0.9948,956.2,990.7,2,0,IDLE,0.00
1785381448.946,0.9948,956.5,990.3,3,0,IDLE,0.00
