Timestamp,SSIM,PCR_Percent,B_Var,R_Var,Max_Surge,Predicted_Label,Confidence
1785726945.010,0.9948,0.000,955.6,944.1,2,IDLE,0.00
1785726945.231,0.9949,0.000,956.6,945.2,3,IDLE,0.00
1785726945.439,0.9950,0.000,957.2,944.5,2,IDLE,0.00
1785726945.672,0.9949,0.000,958.7,946.1,2,IDLE,0.00
1785726945.896,0.9950,0.000,955.9,945.9,2,IDLE,0.00
1785726946.123,0.9949,0.000,956.6,945.6,2,IDLE,0.00
1785726946.347,0.9949,0.000,956.7,946.5,2,IDLE,0.00
1785726946.570,0.9949,0.000,958.0,945.9,3,IDLE,0.00
1785726946.794,0.9949,0.000,956.9,945.1,3,IDLE,0.00
1785726947.018,0.9949,0.000,956.3,946.6,3,IDLE,0.00
1785726947.240,0.9949,0.000,956.5,946.0,2,IDLE,0.00
1785726947.464,0.9949,0.000,955.6,946.3,3,IDLE,0.00
1785726947.688,0.9949,0.000,955.3,948.0,2,IDLE,0.00
1785726947.912,0.9949,0.000,955.2,946.7,2,IDLE,0.00
1785726948.167,0.9949,0.000,955.6,948.3,2,IDLE,0.00
1785726948.343,0.9949,0.000,955.8,949.0,2,IDLE,0.00
1785726948.567,0.9949,0.000,955.4,948.6,2,IDLE,0.00
1785726948.790,0.9950,0.000,957.0,947.6,2,IDLE,0.00
1785726949.014,0.9949,0.000,956.1,949.0,2,IDLE,0.00
1785726949.238,0.9949,0.000,957.9,949.3,3,IDLE,0.00
1785726949.457,0.9949,0.000,957.0,949.4,3,IDLE,0.00
1785726949.665,0.9949,0.000,955.3,949.0,2,IDLE,0.00
1785726949.873,0.9949,0.000,956.9,949.4,3,IDLE,0.00
1785726950.083,0.9949,0.000,956.5,951.2,2,IDLE,0.00
1785726950.305,0.9949,0.000,957.1,949.9,2,IDLE,0.00
1785726950.523,0.9949,0.000,954.6,949.5,2,IDLE,0.00
1785726950.762,0.9949,0.000,955.3,949.8,3,IDLE,0.00
1785726950.974,0.9949,0.000,954.1,949.8,2,IDLE,0.00
1785726951.185,0.9949,0.000,956.5,949.5,3,IDLE,0.00
1785726951.405,0.9949,0.000,955.6,950.4,3,IDLE,0.00
1785726951.639,0.9948,0.000,956.1,949.7,2,IDLE,0.00
1785726951.862,0.9950,0.000,956.7,949.7,2,IDLE,0.00
1785726952.086,0.9949,0.000,955.3,952.7,2,IDLE,0.00
1785726952.294,0.9949,0.000,955.4,951.3,2,IDLE,0.00
1785726952.518,0.9949,0.000,956.4,950.6,2,IDLE,0.00
1785726952.755,0.9949,0.000,956.6,951.1,2,IDLE,0.00
1785726952.962,0.9949,0.000,955.3,952.6,2,IDLE,0.00
1785726953.203,0.9949,0.000,954.8,951.1,2,IDLE,0.00
1785726953.427,0.9949,0.000,956.1,952.9,2,IDLE,0.00
1785726953.636,0.9949,0.000,956.2,952.2,2,IDLE,0.00
1785726953.870,0.9948,0.000,955.4,951.0,3,IDLE,0.00
1785726954.082,0.9949,0.000,954.6,954.0,2,IDLE,0.00
1785726954.290,0.9949,0.000,955.5,952.7,2,IDLE,0.00
1785726954.529,0.9949,0.000,953.1,952.2,3,IDLE,0.00
1785726954.753,0.9949,0.000,955.8,953.5,3,IDLE,0.00
1785726954.962,0.9948,0.000,955.4,953.9,3,IDLE,0.00
1785726955.202,0.9949,0.000,954.8,953.9,3,IDLE,0.00
1785726955.413,0.9949,0.000,955.5,954.2,3,IDLE,0.00
1785726955.621,0.9949,0.000,953.7,952.9,2,IDLE,0.00
1785726955.845,0.9949,0.000,956.9,953.5,2,IDLE,0.00
1785726956.057,0.9949,0.000,955.6,952.8,2,IDLE,0.00
1785726956.281,0.9949,0.000,955.4,953.3,2,IDLE,0.00
1785726956.490,0.9949,0.000,955.0,954.8,2,IDLE,0.00
1785726956.713,0.9948,0.000,953.6,954.9,3,IDLE,0.00
1785726956.936,0.9949,0.000,954.8,956.4,3,IDLE,0.00
1785726957.157,0.9949,0.000,952.9,955.9,3,IDLE,0.00
1785726957.381,0.9948,0.000,954.5,954.6,3,IDLE,0.00
1785726957.596,0.9949,0.000,954.2,954.4,3,IDLE,0.00
1785726957.804,0.9949,0.000,958.1,952.3,2,IDLE,0.00
1785726958.043,0.9949,0.000,955.9,955.7,2,IDLE,0.00
1785726958.242,0.9949,0.000,956.7,955.4,2,IDLE,0.00
1785726958.481,0.9949,0.000,953.7,956.0,2,IDLE,0.00
1785726958.705,0.9949,0.000,954.7,954.9,2,IDLE,0.00
1785726958.945,0.9948,0.000,955.6,955.4,2,IDLE,0.00
1785726959.153,0.9949,0.000,953.5,957.0,2,IDLE,0.00
1785726959.374,0.9948,0.000,955.1,956.9,3,IDLE,0.00
1785726959.613,0.9948,0.000,953.5,954.9,3,IDLE,0.00
1785726959.822,0.9949,0.000,954.2,954.4,2,IDLE,0.00
1785726960.046,0.9948,0.000,954.3,956.0,2,IDLE,0.00
1785726960.285,0.9948,0.000,954.9,955.7,3,IDLE,0.00
1785726960.475,0.9949,0.000,955.5,957.6,3,IDLE,0.00
1785726960.701,0.9949,0.000,957.0,954.0,3,IDLE,0.00
1785726960.924,0.9949,0.000,955.5,957.0,2,IDLE,0.00
1785726961.119,0.9949,0.000,956.3,955.7,2,IDLE,0.00
1785726961.327,0.9949,0.000,954.2,954.9,3,IDLE,0.00
1785726961.541,0.9949,0.000,953.0,956.0,3,IDLE,0.00
1785726961.780,0.9949,0.000,953.5,956.7,2,IDLE,0.00
1785726961.999,0.9949,0.000,953.1,959.9,3,IDLE,0.00
1785726962.206,0.9949,0.000,954.0,956.3,3,IDLE,0.00
1785726962.429,0.9949,0.000,952.6,957.1,3,IDLE,0.00
1785726962.655,0.9948,0.000,953.7,957.0,3,IDLE,0.00
1785726962.879,0.9948,0.000,953.4,957.1,3,IDLE,0.00
1785726963.119,0.9949,0.000,953.2,957.9,2,IDLE,0.00
1785726963.343,0.9948,0.000,955.3,958.0,3,IDLE,0.00
1785726963.551,0.9949,0.000,953.2,957.7,2,IDLE,0.00
1785726963.771,0.9949,0.000,954.2,954.3,2,IDLE,0.00
1785726963.995,0.9949,0.000,953.6,958.4,3,IDLE,0.00
1785726964.203,0.9949,0.000,952.8,957.3,2,IDLE,0.00
1785726964.426,0.9949,0.000,954.8,955.1,2,IDLE,0.00
1785726964.666,0.9949,0.000,953.8,957.8,2,IDLE,0.00
1785726964.873,0.9949,0.000,953.3,960.4,3,IDLE,0.00
1785726965.097,0.9949,0.000,955.7,954.4,3,IDLE,0.00
1785726965.311,0.9948,0.000,953.6,956.4,2,IDLE,0.00
1785726965.538,0.9950,0.000,956.8,956.8,3,IDLE,0.00
1785726965.762,0.9948,0.000,955.6,956.2,2,IDLE,0.00
1785726965.973,0.9949,0.000,953.2,957.9,2,IDLE,0.00
1785726966.197,0.9949,0.000,951.0,958.2,3,IDLE,0.00
1785726966.406,0.9949,0.000,953.2,958.4,3,IDLE,0.00
1785726966.630,0.9948,0.000,951.0,957.0,2,IDLE,0.00
1785726966.838,0.9948,0.000,955.3,955.9,2,IDLE,0.00
1785726967.072,0.9948,0.000,948.5,957.2,3,IDLE,0.00
1785726967.280,0.9948,0.000,951.4,957.1,2,IDLE,0.00
1785726967.505,0.9949,0.000,954.8,955.5,2,IDLE,0.00
1785726967.712,0.9948,0.000,953.0,960.7,3,IDLE,0.00
1785726967.936,0.9949,0.000,951.7,958.5,3,IDLE,0.00
1785726968.170,0.9949,0.000,956.7,957.0,2,IDLE,0.00
1785726968.394,0.9948,0.000,950.9,956.9,3,IDLE,0.00
1785726968.611,0.9949,0.000,948.3,956.2,2,IDLE,0.00
1785726968.819,0.9948,0.000,951.4,956.6,2,IDLE,0.00
1785726969.043,0.9949,0.000,951.0,959.4,2,IDLE,0.00
1785726969.272,0.9948,0.000,952.6,958.4,2,IDLE,0.00
1785726969.496,0.9949,0.000,950.4,962.5,3,IDLE,0.00
1785726969.704,0.9949,0.000,954.5,958.5,2,IDLE,0.00
1785726969.897,0.9949,0.000,951.7,961.3,2,IDLE,0.00
1785726970.121,0.9949,0.000,950.9,957.9,2,IDLE,0.00
1785726970.354,0.9948,0.000,949.8,952.9,3,IDLE,0.00
1785726970.563,0.9948,0.000,953.1,962.1,3,IDLE,0.00
1785726970.802,0.9949,0.000,951.0,960.6,3,IDLE,0.00
1785726970.995,0.9948,0.000,951.7,957.9,3,IDLE,0.00
1785726971.234,0.9949,0.000,952.0,959.0,3,IDLE,0.00
1785726971.444,0.9948,0.000,951.6,960.8,2,IDLE,0.00
1785726971.652,0.9948,0.000,954.2,956.8,3,IDLE,0.00
1785726971.892,0.9949,0.000,957.1,963.3,3,IDLE,0.00
1785726972.100,0.9949,0.000,950.8,957.4,2,IDLE,0.00
1785726972.311,0.9949,0.000,952.1,959.6,3,IDLE,0.00
1785726972.523,0.9949,0.000,952.1,962.1,2,IDLE,0.00
1785726972.764,0.9948,0.000,952.4,964.2,2,IDLE,0.00
1785726972.972,0.9948,0.000,952.7,960.7,2,IDLE,0.00
1785726973.213,0.9949,0.000,950.6,958.2,2,IDLE,0.00
1785726973.453,0.9949,0.000,950.7,959.6,3,IDLE,0.00
1785726973.661,0.9949,0.000,949.3,957.1,2,IDLE,0.00
1785726973.901,0.9949,0.000,948.3,960.0,2,IDLE,0.00
1785726974.112,0.9949,0.000,949.9,959.8,3,IDLE,0.00
1785726974.318,0.9948,0.000,951.5,958.9,3,IDLE,0.00
1785726974.541,0.9948,0.000,951.4,958.6,3,IDLE,0.00
1785726974.772,0.9948,0.000,950.0,959.9,2,IDLE,0.00
1785726974.980,0.9948,0.000,949.1,959.1,3,IDLE,0.00
1785726975.213,0.9948,0.000,948.4,959.9,2,IDLE,0.00
1785726975.421,0.9949,0.000,950.3,961.9,3,IDLE,0.00
1785726975.661,0.9948,0.000,950.2,960.9,3,IDLE,0.00
1785726975.888,0.9949,0.000,950.9,965.5,3,IDLE,0.00
1785726976.096,0.9949,0.000,951.9,959.9,3,IDLE,0.00
1785726976.318,0.9949,0.000,951.2,959.3,2,IDLE,0.00
1785726976.542,0.9949,0.000,950.7,959.8,3,IDLE,0.00
1785726976.782,0.9949,0.000,952.0,956.7,2,IDLE,0.00
1785726977.005,0.9948,0.000,951.7,959.5,3,IDLE,0.00
1785726977.215,0.9949,0.000,951.5,960.5,3,IDLE,0.00
1785726977.420,0.9949,0.000,952.6,961.6,3,IDLE,0.00
1785726977.628,0.9949,0.000,951.5,962.4,2,IDLE,0.00
1785726977.851,0.9949,0.000,949.1,961.1,3,IDLE,0.00
1785726978.072,0.9948,0.000,951.3,959.3,2,IDLE,0.00
1785726978.312,0.9949,0.000,950.8,959.1,3,IDLE,0.00
1785726978.521,0.9949,0.000,949.5,961.6,3,IDLE,0.00
1785726978.745,0.9949,0.000,950.2,959.1,3,IDLE,0.00
1785726978.969,0.9948,0.000,949.5,960.8,2,IDLE,0.00
1785726979.174,0.9949,0.000,950.4,958.5,3,IDLE,0.00
1785726979.398,0.9948,0.000,950.0,959.8,2,IDLE,0.00
1785726979.621,0.9948,0.000,950.1,960.6,2,IDLE,0.00
